caseID,taskID,originator,eventtype,contact,RepairType,objectKey,RepairInternally,EstimatedRepairTime,RepairCode,RepairOK,date,time
583,FirstContact,Monica,complete,Phone,,,,,,,2021-03-13,13:32
288,ReadyInformClient,System,complete,,,,,,,TRUE,2021-03-14,20:59
880,ArrangeSurvey,Monica,start,,,,,,,,2021-03-15,3:27
955,MakeTicket,Dian,complete,,E,429,,,,,2021-03-16,4:09
244,Survey,Paul,start,,,,,,,,2021-03-17,13:12
485,InformClientSurvey,System,complete,,,,,,,,2021-03-18,14:21
865,ArrangeSurvey,Dian,complete,,,,,,,,2021-03-19,23:42
789,ArrangeSurvey,Monica,complete,,,,,,,,2021-03-20,5:19
885,MakeTicket,Dian,start,,,,,,,,2021-03-21,13:01
318,InternRepair,Edd,start,,,,,,,,2021-03-22,2:02
373,ArrangeSurvey,Monica,complete,,,,,,,,2021-03-23,5:40
259,Survey,John,start,,,,,,,,2021-03-24,13:49
152,ArrangeSurvey,Monica,start,,,,,,,,2021-03-25,3:39
873,ArrangeSurvey,Monica,complete,,,,,,,,2021-03-26,15:02
94,RepairReady,System,complete,,,,,,,TRUE,2021-03-27,9:50
367,ReadyInformClient,System,complete,,,,,,,TRUE,2021-03-28,22:17
917,FirstContact,Dian,complete,Phone,,,,,,,2021-03-29,23:10
889,MakeTicket,Dian,complete,,B,4756,,,,,2021-03-30,1:28
900,MakeTicket,Monica,complete,,E,5701,,,,,2021-03-31,21:57
850,MakeTicket,Dian,complete,,P,9470,,,,,2021-04-01,19:35
968,FirstContact,Monica,complete,Personal,,,,,,,2021-04-02,10:53
139,MakeTicket,Dian,complete,,P,4116,,,,,2021-04-03,7:39
933,RepairReady,System,complete,,,,,,,TRUE,2021-04-04,4:54
728,InformClientSurvey,System,complete,,,,,,,,2021-04-05,2:02
407,MakeTicket,Dian,complete,,E,9069,,,,,2021-04-06,9:05
133,SendTicketToFinAdmin,System,complete,,,,,,,,2021-04-07,0:22
98,InternRepair,Lex,complete,,,,,,,,2021-04-08,8:39
365,InternRepair,Paul,complete,,,,,,,,2021-04-09,21:37
98,MakeTicket,Dian,start,,,,,,,,2021-04-10,5:30
570,RepairReady,System,complete,,,,,,,TRUE,2021-04-11,22:10
237,ArrangeSurvey,Dian,start,,,,,,,,2021-04-12,10:14
582,TicketReady,System,complete,,,,,,,,2021-04-13,16:45
490,Survey,Barbara,start,,,,,,,,2021-04-14,6:21
884,TicketReady,System,complete,,,,,,,,2021-04-15,7:51
616,RepairReady,System,complete,,,,,,,TRUE,2021-04-16,9:17
63,ArrangeSurvey,Monica,complete,,,,,,,,2021-04-17,20:28
565,Survey,Anne,complete,,,,TRUE,120,1,,2021-04-18,9:02
506,MakeTicket,Monica,complete,,B,126,,,,,2021-04-19,19:27
502,MakeTicket,Monica,start,,,,,,,,2021-04-20,10:11
153,InternRepair,Anne,complete,,,,,,,,2021-04-21,7:43
683,Survey,Barbara,start,,,,,,,,2021-04-22,11:46
836,Survey,Anne,start,,,,,,,,2021-04-23,22:42
84,RepairReady,System,complete,,,,,,,TRUE,2021-04-24,22:05
826,Survey,Anne,complete,,,,TRUE,120,1,,2021-04-25,20:28
729,Survey,Anne,start,,,,,,,,2021-04-26,12:50
607,MakeTicket,Monica,start,,,,,,,,2021-04-27,22:36
655,InformClientSurvey,System,complete,,,,,,,,2021-04-28,14:30
915,RepairReady,System,complete,,,,,,,TRUE,2021-04-29,7:04
783,Survey,Anne,start,,,,,,,,2021-04-30,2:15
530,InformClientSurvey,System,complete,,,,,,,,2021-05-01,10:34
532,ArrangeSurvey,Monica,complete,,,,,,,,2021-05-02,3:16
342,Survey,Anne,start,,,,,,,,2021-05-03,6:57
183,Survey,Paul,start,,,,,,,,2021-05-04,11:27
796,InformClientSurvey,System,complete,,,,,,,,2021-05-05,20:23
16,ImmediateRepair,Jacky,start,,,,,,,,2021-05-06,0:15
483,MakeTicket,Dian,complete,,P,9483,,,,,2021-05-07,5:00
108,TicketReady,System,complete,,,,,,,,2021-05-08,0:33
10,ImmediateRepair,Jacky,complete,,,,,,,,2021-05-09,7:09
861,InformClientSurvey,System,complete,,,,,,,,2021-05-10,18:02
345,MakeTicket,Monica,start,,,,,,,,2021-05-11,1:37
175,RepairReady,System,complete,,,,,,,TRUE,2021-05-12,9:48
351,ArrangeSurvey,Dian,start,,,,,,,,2021-05-13,0:21
233,Survey,John,start,,,,,,,,2021-05-14,8:07
